Time,Channel A
(us),(V)

-2.02392994,-0.00939970
-2.01392994,-0.00939970
-2.00392994,-0.00939970
-1.99392994,-0.00033570
-1.98392994,-0.00033570
-1.97392994,-0.00033570
-1.96392994,-0.00033570
-1.95392994,-0.00033570
-1.94392994,-0.00033570
-1.93392994,-0.00033570
-1.92392994,-0.00033570
-1.91392994,-0.00939970
-1.90392994,-0.00939970
-1.89392994,-0.00939970
-1.88392994,-0.00939970
-1.87392994,-0.00939970
-1.86392994,-0.00939970
-1.85392994,-0.00033570
-1.84392994,-0.00939970
-1.83392994,-0.00033570
-1.82392994,-0.00033570
-1.81392994,-0.00033570
-1.80392994,-0.00033570
-1.79392994,-0.00033570
-1.78392994,-0.00939970
-1.77392994,-0.00033570
-1.76392994,-0.00939970
-1.75392994,-0.00939970
-1.74392994,-0.00939970
-1.73392994,-0.00939970
-1.72392994,-0.00939970
-1.71392994,-0.00033570
-1.70392994,-0.00033570
-1.69392994,-0.00033570
-1.68392994,-0.00939970
-1.67392994,-0.00939970
-1.66392994,-0.00939970
-1.65392994,-0.00033570
-1.64392994,-0.00033570
-1.63392994,-0.00939970
-1.62392994,-0.00939970
-1.61392994,-0.00939970
-1.60392994,-0.00939970
-1.59392994,-0.00033570
-1.58392994,-0.00033570
-1.57392994,-0.00033570
-1.56392994,-0.00033570
-1.55392994,-0.00033570
-1.54392994,-0.00033570
-1.53392994,-0.00033570
-1.52392994,-0.00939970
-1.51392994,-0.00033570
-1.50392994,-0.00939970
-1.49392994,-0.00939970
-1.48392994,-0.00939970
-1.47392994,-0.00033570
-1.46392994,-0.00033570
-1.45392994,-0.00033570
-1.44392994,-0.00939970
-1.43392994,-0.00033570
-1.42392994,-0.00939970
-1.41392994,-0.00939970
-1.40392994,-0.00939970
-1.39392994,-0.00033570
-1.38392994,-0.00939970
-1.37392994,-0.00033570
-1.36392994,-0.00033570
-1.35392994,-0.00033570
-1.34392994,-0.00033570
-1.33392994,-0.00033570
-1.32392994,-0.00033570
-1.31392994,-0.00033570
-1.30392994,-0.00033570
-1.29392994,-0.00033570
-1.28392994,-0.00033570
-1.27392994,-0.00939970
-1.26392994,-0.00033570
-1.25392994,-0.00033570
-1.24392994,-0.00939970
-1.23392994,-0.00033570
-1.22392994,-0.00033570
-1.21392994,-0.00033570
-1.20392994,-0.00033570
-1.19392994,-0.00033570
-1.18392994,-0.00939970
-1.17392994,-0.00939970
-1.16392994,-0.00939970
-1.15392994,-0.00033570
-1.14392994,-0.00033570
